item_number,item_description,group_name,vendor_price_usd,price_valid_till,notes,price_expired,phase_out_flag,vendor,vendor_brand,country,price_type,source_file
616231000,"Flexiarapid 115x1.2x22.23 Inox, TF 41   ",Accessory,0.8710000000000001,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616232000,"Flexiarapid 125x1.2x22.23 Inox, TF 41   ",Accessory,0.9295,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616233000,"Flexiarapid super115x1.2x22.23 Inox,TF41",Accessory,0.949,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616234000,"Flexiarapid super125x1.2x22.23 Inox,TF41",Accessory,1.0335,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616257000,"Special Edition II 115x1,0x22.23 mm Inox",Accessory,0.7735,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616260000,"Special Edition II 125x1,0x22,23 mm Inox",Accessory,0.9165,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616262000,"Limited  Edition 115x1,0x22,23 Inox     ",Accessory,0.923,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616263000,"Limited Edition 125x1,0x22,23 Inox      ",Accessory,0.962,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616270000,"Novorapid 115x1,0x22,23 Inox            ",Accessory,0.936,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616271000,"Novorapid 125x1,0x22,23 Inox            ",Accessory,0.9685,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616273000,"Novorapid 180x1,5x22,23 Inox            ",Accessory,1.6055,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616274000,"Novorapid 230x1,9x22,23 Inox            ",Accessory,2.08,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616275000,"Flexiamant super 115x6,0x22,2 steel     ",Accessory,1.482,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616277000,"Flexiamant super 180x6,0x22,2 steel     ",Accessory,2.8665000000000003,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616279000,"Flexiamant super 230x6,0x22,2 steel     ",Accessory,4.0105,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616285000,"M-Calibur 115x1,6x22,23 mm              ",Accessory,2.691,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616286000,"M-Calibur 125x1,6x22,23 mm              ",Accessory,3.0485,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616291000,"M-Calibur 125x7,0x22,23 mm              ",Accessory,5.707,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616292000,"M-Calibur 180x7,0x22,23 mm              ",Accessory,6.422000000000001,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
