item_number,item_description,vendor,vendor_brand,country,price_type,vendor_price_usd,pt_price_ca35,pt_price_ca40,phase_out_flag,ronix_fob_price_usd,vendor_price_jmd
2012,Small Tool Table Merchandiser,Workpro,Workpro,China,landed,121.83,108.97,100.59,,,19125.372903
20120,"3"" C-Clamp",Workpro,Workpro,China,landed,4.13,3.88,3.58,,,648.344333
20120-B,Bin for 20120,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20122,"12' x 5/8"" Tape Measure",Workpro,Workpro,China,landed,1.81,1.7,1.57,,,284.14122100000003
20124,2 pc. Paint Brush Set,Workpro,Workpro,China,landed,1.25,1.23,1.14,,,196.23012500000002
20124-B,Bin for 20124,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20126,Telescoping Magnetic Pickup Tool,Workpro,Workpro,China,landed,1.72,1.71,1.58,,,270.012652
20126-B,Bin for 20126,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20127,Fingernail Brush,Workpro,Workpro,China,landed,0.54,0.53,0.49,,,84.77141400000001
20127-B,Bin for 20127,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20128,Telescoping inspection Mirror,Workpro,Workpro,China,landed,1.35,1.26,1.17,,,211.92853500000004
20129,Telescoping Magnetic Pickup Tool 8 lb.,Workpro,Workpro,China,landed,2.32,2.3,2.12,,,364.203112
20130,Single Blade Scraper,Workpro,Workpro,China,landed,1.19,1.13,1.05,,,186.811079
20134,Metal Battery Terminal Brush,Workpro,Workpro,China,landed,1.61,1.57,1.45,,,252.74440100000004
20134-B,Bin for 20134,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20135,Super Glue,Workpro,Workpro,China,landed,0.57,0.55,0.51,,,89.480937
20135-B,Bin for 20135,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20140,3 pc. Cleaning Brushes,Workpro,Workpro,China,landed,1.38,1.36,1.26,,,216.638058
