item_number,item_description,product_description,order_quantity,qty_per_carton,cbm_per_carton,fob_unit_price_usd,estimated_landed_price_usd,freight_factor_applied,NOTE_ronix_pricing,vendor,vendor_brand,country,price_type,source_file
3113 100mm,"Mini Angle Grinder
100mm","Power : 850 W
Cutting Disk Diameter : 100 mm
Cable Length : 3m
No Load Speed : 12000 rpm
Weight : 1.8 Kg",0,10,0.0606,14.96,19.448,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3113 115mm,"Mini Angle Grinder
115mm","Power : 850 W
Cutting Disk Diameter : 115 mm
Cable Length : 3m
No Load Speed : 12000 rpm
Weight : 1.8 Kg",0,10,0.0552,16.97,22.061,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3113BS 115mm,"Mini Angle Grinder
115mm","Power : 850 W
Cutting Disk Diameter : 115 mm
Cable Length : 3m
No Load Speed : 12000 rpm
Weight : 1.8 Kg",0,10,0.0552,15.53,20.189,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3115,125mm Angle Grinder,"Voltage 220-240V
Frequency 50-60Hz
Disk diameter 125mm
Weight 1.82Kg
Power 900W
No load speed 11000RPM",0,10,0.0619,15.96,20.748,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3115BS,125mm Angle Grinder,"Voltage 220-240V
Frequency 50-60Hz
Disk diameter 125mm
Weight 1.82Kg
Power 900W
No load speed 11000RPM",0,10,0.0594,16.47,21.411,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3116,100mm angle grinder,"Power:750W
Voltage:220-240V
Frequency:50-60Hz
No load speed:11000RPM
Disc diameter:115mm
Spindle size:M14
Weight：1.9kg(with side handle,protect guard)",0,10,0.0454,13.25,17.225,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3116BS,100mm Angle Grinder,"Power:750W
Voltage:220-240V
Frequency:50-60Hz
No load speed:11000RPM
Disc diameter:115mm
Spindle size:M14
Weight：1.9kg(with side handle,protect guard)",0,10,0.0457,13.59,17.667,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3120 100mm,"MiNi Angle Grinder
100 mm","Power : 710 W
No Load Speed : 11000 rpm
Cutting Disk Diameter : 100 mm
Cable Length : 3 m
Weight : 2.1 kg",0,#N/A,#N/A,,,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3120N,"MiNi Angle Grinder
115 mm","Power : 750W
No Load Speed : 11000 rpm
Cutting Disk Diameter : 115 mm
Cable Length : 3 m
Weight : 2.1 kg",0,8,0.0563,15.41,20.033,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3120NBS,"MiNi Angle Grinder
115 mm","Power : 750W
No Load Speed : 11000 rpm
Cutting Disk Diameter : 115 mm
Cable Length : 3 m
Weight : 2.1 kg",0,8,0.0538,15.91,20.683,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3125,Angle grinder 125mm,"Voltage 220-240V
Frequency 50-60Hz
Disk diameter 125mm
Weight 2.4Kg
Power 1200W
No load speed 11500RPM",0,8,0.0553,23.28,30.264,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3130 100mm,"MiNi Angle Grinder
100 mm","Power : 720 W
No Load Speed : 11000 rpm
Cutting Disk Diameter : 100 mm
Cable Length : 3 m
Weight : 1.5 kg",0,8,0.0446,15.33,19.929,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3130 115mm,"MiNi Angle Grinder
115 mm","Power : 720 W
No Load Speed : 11000 rpm
Cutting Disk Diameter : 115 mm
Cable Length : 3 m
Weight : 1.5 kg",0,8,0.0463,14.12,18.356,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3130BS 100mm,"MiNi Angle Grinder
100 mm","Power : 720 W
No Load Speed : 11000 rpm
Cutting Disk Diameter : 100 mm
Cable Length : 3 m
Weight : 1.5 kg",0,8,0.0446,16.13,20.969,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3130BS 115mm,"MiNi Angle Grinder
115 mm","Power : 720 W
No Load Speed : 11000 rpm
Cutting Disk Diameter : 115 mm
Cable Length : 3 m
Weight : 1.5 kg",0,8,0.0472,16.13,20.969,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
