item_number,item_description,pt_current_price,pt_cpl35_price,pt_price_change_pct,standard_pack,inner_qty,master_qty,upc,class_code,class_desc,brand_code,brand_desc,subclass_code,subclass_desc,group_name,is_new_item,pt_price_ca35,pt_price_ca40,vendor,vendor_brand,country,price_type,source_file
W80634,2 pc. Stone Set for W80633,2.61,2.77,0.0622406639004149,1.0,12,288,39564806346.0,4,Specialty Tools,1.0,Performance Tool,36,Drum Brakes,,,2.42,2.23,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80635,5 pc. Bolt Extractor Set,4.69,4.93,0.0508083140877597,1.0,6,72,39564806353.0,3,Hardware Tools,1.0,Performance Tool,7,Extractors,,,4.36,4.02,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80640,Flexible Hose Clamp Pliers,12.11,12.11,0.0,1.0,15,30,39564140129.0,4,Specialty Tools,1.0,Performance Tool,7,Belts & Hoses,,,11.5,10.62,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80641,Windshield Removal Tool,10.71,10.82,0.0091001011122345,1.0,6,48,39564806414.0,4,Specialty Tools,1.0,Performance Tool,50,Body and Interior,,,10.21,9.42,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80643,11 pc. Trim Removal Tool Set,9.43,9.44,0.0,1.0,1,20,39564135460.0,4,Specialty Tools,1.0,Performance Tool,50,Body and Interior,,,9.13,8.43,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80644,Door Panel Remover Bent,4.97,5.39,0.0827886710239651,1.0,6,12,39564014000.0,4,Specialty Tools,1.0,Performance Tool,50,Body and Interior,,,4.58,4.23,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80645,Door Upholstery Tool,3.01,3.04,0.0071942446043165,1.0,6,72,39564806452.0,4,Specialty Tools,1.0,Performance Tool,50,Body and Interior,,,2.92,2.69,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80646,Door/Window Handle Clip Tool,3.5,3.52,0.0061919504643962,1.0,6,72,39564806469.0,4,Specialty Tools,1.0,Performance Tool,50,Body and Interior,,,3.4,3.14,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80648,Composite Trim Removal Tool Set,7.29,7.29,0.0,1.0,6,24,39564806483.0,4,Specialty Tools,1.0,Performance Tool,50,Body and Interior,,,7.14,6.59,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80649,Steering Wheel Lock Plate Tool,10.74,11.0,0.0241935483870967,1.0,6,48,39564806490.0,4,Specialty Tools,1.0,Performance Tool,40,Steering,,,10.19,9.4,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80650,Steering Wheel Lock Plate Tool,8.76,8.76,0.0,1.0,6,48,39564806506.0,4,Specialty Tools,1.0,Performance Tool,40,Steering,,,8.27,7.64,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80651,Steering Wheel Remover Set,12.16,12.42,0.0213713268032057,1.0,6,24,39564806513.0,4,Specialty Tools,1.0,Performance Tool,40,Steering,,,11.78,10.87,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80652,Steering Pivot Pin Remover,4.17,4.31,0.0337662337662337,1.0,6,60,39564806520.0,4,Specialty Tools,1.0,Performance Tool,40,Steering,,,4.0,3.69,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80653,Power Steering/Alternator Pulley Puller,13.36,13.85,0.0373073803730737,1.0,6,24,39564806537.0,4,Specialty Tools,1.0,Performance Tool,55,Pullers,,,12.6,11.63,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80654,Flat Band Hose Clamp Pliers,9.51,9.51,0.0,1.0,12,72,39564806544.0,4,Specialty Tools,1.0,Performance Tool,7,Belts & Hoses,,,9.26,8.55,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80656,Flexible Hose Clamp Pliers,23.04,24.3,0.0550329256820318,1.0,15,30,39564033445.0,4,Specialty Tools,1.0,Performance Tool,7,Belts & Hoses,,,21.15,19.52,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
